Split,Time,Moving Time,Distance,Elevation Gain,Elev Loss,Avg Pace,Avg Moving Paces,Best Pace,Avg Run Cadence,Max Run Cadence,Avg Stride Length,Avg HR,Max HR,Avg Temperature,Calories
1,00:05:07.745,00:05:02.00,1,6,21,0:05:07  ,0:05:02  ,0:04:38  ,159.5625,165.0,122.18824288985408,141.0,152.0,--,71
2,00:04:28.597,00:04:26.00,1,--,--,0:04:28  ,0:04:26  ,0:04:07  ,165.984375,169.0,134.5807392990093,153.0,161.0,--,68
3,00:04:22.172,00:04:17.00,1,5,2,0:04:22  ,0:04:17  ,0:04:18  ,167.421875,169.0,136.6950369468085,157.0,160.0,--,68
4,00:04:38.926,00:04:36.00,1,13,10,0:04:38  ,0:04:35  ,0:04:12  ,166.75,171.0,129.00199213013278,161.0,164.0,--,74
5,00:04:35.462,00:04:35.00,1,--,10,0:04:35  ,0:04:35  ,0:04:11  ,163.578125,167.0,133.15709728956918,158.0,162.0,--,72
6,00:04:29.989,00:04:29.00,1,--,3,0:04:29  ,0:04:29  ,0:04:11  ,166.59375,171.0,133.39712014138433,160.0,163.0,--,71
7,00:04:25.917,00:04:22.00,1,--,--,0:04:25  ,0:04:22  ,0:04:11  ,166.6875,171.0,135.36367219831143,162.0,165.0,--,71
8,00:04:33.378,00:04:32.00,1,13,4,0:04:33  ,0:04:32  ,0:04:09  ,165.921875,169.0,132.27691461780137,170.0,180.0,--,77
9,00:04:46.215,00:04:41.00,1,9,9,0:04:46  ,0:04:41  ,0:04:21  ,163.375,167.0,128.31376986548233,168.0,175.0,--,79
10,00:04:25.90,00:04:24.00,1,5,--,0:04:25  ,0:04:24  ,0:04:18  ,166.5,169.0,135.93887560398002,170.0,178.0,--,75
11,00:04:19.201,00:04:18.00,1,--,--,0:04:19  ,0:04:18  ,0:04:15  ,167.734375,169.0,138.00426922214098,170.0,180.0,--,73
12,00:04:25.679,00:04:19.00,1,3,10,0:04:25  ,0:04:19  ,0:04:20  ,166.859375,169.0,135.34537928431115,167.0,182.0,--,73
13,00:04:27.222,00:04:23.00,1,--,3,0:04:27  ,0:04:23  ,0:04:20  ,167.09375,171.0,134.3751181430446,165.0,169.0,--,72
14,00:04:29.927,00:04:24.00,1,12,6,0:04:29  ,0:04:24  ,0:04:22  ,166.265625,171.0,133.69108567524842,165.0,168.0,--,73
15,00:04:27.88,00:04:24.00,1,6,--,0:04:27  ,0:04:24  ,0:04:05  ,166.234375,173.0,135.137543077976,165.0,168.0,--,72
16,00:04:23.76,00:04:19.00,1,--,4,0:04:23  ,0:04:19  ,0:04:05  ,167.21875,169.0,136.39079674006135,165.0,169.0,--,70
17,00:04:24.297,00:04:21.00,1,1,9,0:04:24  ,0:04:21  ,0:04:20  ,166.953125,172.0,135.97669123582202,162.0,171.0,--,68
18,00:04:22.538,00:04:20.00,1,--,--,0:04:22  ,0:04:20  ,0:04:11  ,167.328125,171.0,136.58095422592385,162.0,166.0,--,67
19,00:04:29.236,00:04:26.00,1,12,4,0:04:29  ,0:04:26  ,0:04:04  ,166.28125,169.0,134.02161663437667,161.0,165.0,--,67
20,00:04:33.295,00:04:33.00,1,--,9,0:04:33  ,0:04:33  ,0:04:22  ,165.390625,167.0,132.74209097409675,160.0,163.0,--,68
21,00:04:39.273,00:04:35.00,1,3,--,0:04:39  ,0:04:35  ,0:04:20  ,165.03125,167.0,130.18354542159062,158.0,164.0,--,65
22,00:04:44.222,00:04:40.00,1,--,--,0:04:44  ,0:04:39  ,0:04:32  ,164.46875,167.0,128.3542314658784,158.0,162.0,--,66
23,00:00:40.533,00:00:39.00,0.13,7,--,0:05:10  ,0:04:58  ,0:04:39  ,162.3125,164.0,118.9874592298454,158.0,159.0,--,9
24,00:03:36.256,00:03:34.00,0.52,--,--,0:06:55  ,0:06:51  ,0:04:53  ,158.5625,165.0,91.05137308157003,160.0,165.0,--,52
Summary,01:43:55.334,01:43:55.00,22.65,95,107,0:04:35  ,0:04:35  ,0:04:04  ,165.53125,173.0,131.57138020390738,161.0,182.0,--,1621
